actionAcceptedList0;actionAcceptedList1;actionAcceptedList2;actionAcceptedList3;[step];averageWaitingAction1;averageWaitingAction2;averageWaitingAction3;totalwaitingtime
123;123;12;123;487;5,513333333333334;11,125;10,166666666666666;8,935
1;23;123;123;485;6,958333333333333;11,7;19,666666666666668;12,775
13;123;123;12;487;7,294117647058823;12,705882352941176;19;13
12;2;13;3;486;15,8;12,791666666666666;19,333333333333332;15,975
123;23;3;12;487;13,875;17,22222222222222;21,77777777777778;17,625
123;23;3;13;486;18,666666666666668;16,666666666666668;18,666666666666668;18
13;123;2;1;485;8,086666666666666;17,375;32,333333333333336;19,265
2;2;123;13;486;23;9,08;44,375;25,485
12;13;23;123;487;5,590604026845638;10,304347826086957;14,125;10,006650617644198
23;1;12;13;485;5,6438356164383565;11,379310344827585;13;10,007715320421982
1;23;12;13;487;6,428571428571429;12,214285714285714;11,4;10,014285714285714
123;123;123;23;485;5,7254901960784315;15,32;9;10,015163398692811
123;13;123;1;485;4,8789808917197455;11,85;13,333333333333334;10,020771408351026
2;123;13;13;486;7,453333333333333;10,384615384615385;12,25;10,02931623931624
1;123;123;23;487;5,576388888888889;11,275862068965518;13,285714285714286;10,045988414522897
123;123;12;123;487;5,944444444444445;10,333333333333334;13,88888888888889;10,055555555555555
123;123;123;13;485;5,165517241379311;9,774193548387096;15,25;10,063236929922136
13;123;123;123;485;6,4520547945205475;10,75;13;10,067351598173516
12;13;123;12;489;5,748251748251748;9,517241379310345;15;10,088497709187365
12;123;1;23;486;5,525974025974026;11,31578947368421;13,428571428571429;10,090111642743222
23;13;12;1;487;6,636986301369863;9,666666666666666;14;10,101217656012176
13;23;13;12;487;5,925170068027211;10,5;13,88888888888889;10,104686318972034
23;123;1;123;490;6,354838709677419;9,68421052631579;14,333333333333334;10,124127523108847
23;123;123;12;486;6,071895424836601;9,727272727272727;14,6;10,133056050703109
23;123;12;12;485;6,819354838709677;9,08695652173913;14,5;10,135437120149602
23;13;12;123;496;5,758389261744966;12,076923076923077;12,6;10,145104112889348
123;123;23;13;496;5,290322580645161;10,166666666666666;15;10,152329749103943
123;13;2;1;486;5,3881578947368425;13,76;11,333333333333334;10,160497076023391
13;123;23;13;487;5,256410256410256;10,571428571428571;14,666666666666666;10,164835164835166
13;2;123;123;486;5,816993464052287;9,55;15,142857142857142;10,169950202303143
123;123;23;1;486;5,839160839160839;10,35483870967742;14,333333333333334;10,17577762739053
123;23;13;123;486;5,171974522292993;9,894736842105264;15,5;10,188903788132754
123;123;12;23;495;5,317880794701987;9,608695652173912;15,666666666666666;10,197747704514187
13;2;123;123;492;6,5608108108108105;9,32;14,714285714285714;10,198365508365507
13;123;2;13;487;6,8979591836734695;9,407407407407407;14,333333333333334;10,212899974804737
123;13;1;123;486;5,262820512820513;12,380952380952381;13;10,214590964590965
23;1;12;123;487;6,585987261146497;9,6;14,5;10,228662420382166
1;123;12;23;486;5,527027027027027;10,73076923076923;14,5;10,252598752598752
123;13;123;12;485;5,101351351351352;10,666666666666666;15;10,256006006006006
12;23;13;13;494;5,568493150684931;13;12,2;10,256164383561643
12;13;13;123;485;4,949367088607595;9,85;16;10,266455696202533
123;13;2;123;495;6,344827586206897;9,15625;15,333333333333334;10,278136973180077
2;123;123;12;487;7,723404255319149;11,114285714285714;12;10,279229989868288
13;12;1;123;486;4,910828025477707;10,95;15;10,286942675159235
13;123;123;123;487;6,217687074829932;11,8;12,875;10,297562358276645
13;12;123;13;489;5,72108843537415;16,93103448275862;8,25;10,30070763937759
13;1;12;23;486;6,655629139072848;10,923076923076923;13,333333333333334;10,304013131827702
123;12;23;123;506;6,635714285714286;11,4375;12,875;10,316071428571428
13;23;13;12;486;5,849673202614379;10,363636363636363;14,8;10,337769855416914
23;13;12;123;486;6,95945945945946;10,321428571428571;13,75;10,343629343629344
123;12;13;12;486;5,348993288590604;10,52;15,166666666666666;10,345219985085757
2;13;123;123;486;5,589403973509934;9,571428571428571;15,875;10,345277514979502
12;2;13;13;487;5,848275862068966;9,928571428571429;15,285714285714286;10,354187192118227
123;123;123;1;490;5,6938775510204085;10,708333333333334;14,666666666666666;10,356292517006802
123;13;12;12;485;4,71523178807947;8,692307692307692;17,666666666666668;10,35806871568461
1;12;13;123;486;4,8133333333333335;10,68;15,6;10,364444444444445
123;1;12;23;485;5,7612903225806456;10;15,333333333333334;10,364874551971326
1;123;23;123;485;6,229299363057325;10,2;14,666666666666666;10,365322009907997
12;123;123;123;487;5,448717948717949;9,652173913043478;16;10,366963953920475
12;123;23;12;486;6,342465753424658;10,384615384615385;14,375;10,36736037934668
12;12;13;13;486;5,580419580419581;11,25925925925926;14,3;10,379892946559613
13;123;12;2;486;6,006535947712418;9,85;15,285714285714286;10,380750077808901
123;123;13;23;485;5,733766233766234;10,619047619047619;14,8;10,384271284271284
123;12;12;123;486;5,895833333333333;11,064516129032258;14,2;10,386783154121863
123;1;2;123;485;5,781456953642384;9,88;15,5;10,387152317880796
123;1;1;123;485;4,979310344827586;10,6;15,6;10,39310344827586
12;13;23;12;486;6,526315789473684;11,095238095238095;13,571428571428571;10,39766081871345
123;123;2;123;486;6,583333333333333;9,758620689655173;14,857142857142858;10,399698960043787
123;12;13;12;486;5,876623376623376;11,523809523809524;13,8;10,4001443001443
123;23;13;12;487;6,1466666666666665;10,91304347826087;14,142857142857142;10,400855762594892
13;23;12;123;493;7,2993630573248405;9,357142857142858;14,555555555555555;10,40402049000775
13;12;12;13;487;4,875;10,68;15,666666666666666;10,407222222222222
12;13;12;13;487;6;11,793103448275861;13,428571428571429;10,407224958949095
1;23;123;12;486;6,594771241830065;9,2;15,428571428571429;10,40778089013383
23;123;1;1;486;6,174496644295302;10,461538461538462;14,6;10,412011701944587
2;13;123;123;486;6,895833333333333;9,344827586206897;15;10,413553639846743
13;13;2;123;496;5,56551724137931;12,107142857142858;13,571428571428571;10,414696223316914
13;23;123;12;486;6,503184713375796;12,411764705882353;12,333333333333334;10,416094250863829
12;12;23;123;489;8,664516129032258;10,4;12,2;10,421505376344085
12;1;23;123;495;5,847682119205298;9,041666666666666;16,4;10,429782928623988
23;123;13;12;486;6,322784810126582;11;14;10,440928270042194
12;123;1;23;485;6,251655629139073;10,73913043478261;14,333333333333334;10,44137313241834
123;1;123;13;485;5,077419354838709;12,05;14,2;10,44247311827957
1;12;23;123;487;6,8120805369127515;10,36;14,166666666666666;10,446249067859805
123;123;12;13;487;5,7482993197278915;11,481481481481481;14,166666666666666;10,465482489292013
123;12;13;23;487;5,806666666666667;10,346153846153847;15,25;10,467606837606837
23;13;13;123;485;6,251612903225807;10,428571428571429;14,75;10,476728110599078
13;13;123;123;487;6,110344827586207;10,655172413793103;14,666666666666666;10,477394636015326
13;123;1;12;494;5,203947368421052;13,23076923076923;13;10,47823886639676
13;13;12;12;494;5,405594405594406;10,03225806451613;16;10,479284156703512
123;13;23;12;487;6,209150326797386;11,238095238095237;14;10,48241518829754
1;123;23;13;485;5,743243243243243;10,423076923076923;15,333333333333334;10,4998844998845
12;1;23;123;505;5,322147651006712;8,75;17,428571428571427;10,500239693192713
13;12;2;123;486;7,485714285714286;8,857142857142858;15,166666666666666;10,503174603174601
23;13;23;1;487;10,57638888888889;11,1;9,833333333333334;10,503240740740742
123;123;13;12;486;5,908450704225352;10,617647058823529;15;10,508699254349628
123;1;123;3;485;6,386666666666667;12,047619047619047;13,11111111111111;10,515132275132276
123;13;13;12;485;5,6891891891891895;9,857142857142858;16;10,515444015444016
13;12;123;123;492;5,1118421052631575;10,434782608695652;16;10,515541571319604
123;1;123;23;485;5,12987012987013;12,619047619047619;13,8;10,516305916305916
123;23;2;13;486;11,833333333333334;9,21875;10,5;10,517361111111112
2;123;1;13;488;7,961290322580645;10,4;13,2;10,520430107526881
123;1;123;2;486;7,190789473684211;11,72;12,666666666666666;10,525818713450292
12;13;123;123;486;5,945578231292517;12,3;13,333333333333334;10,526303854875286
123;12;13;13;486;5,804054054054054;8,791666666666666;17;10,531906906906906
1;123;13;12;500;5,4206896551724135;10,555555555555555;15,625;10,53374840357599
2;123;123;123;488;6,308219178082192;10,310344827586206;15;10,5395213352228
23;1;12;123;485;6,593103448275862;9,692307692307692;15,333333333333334;10,539581491305631
12;123;2;13;493;6,131944444444445;9,931034482758621;15,571428571428571;10,544802499543879
123;13;12;1;487;5,416666666666667;10,375;15,875;10,555555555555555
23;123;12;1;491;6,335483870967742;10,333333333333334;15;10,556272401433693
123;123;13;123;485;5,611510791366906;9,433333333333334;16,636363636363637;10,560402587021292
12;13;13;12;490;5,128378378378378;11,28;15,285714285714286;10,564697554697554
13;23;12;1;485;5,321917808219178;13,384615384615385;13;10,568844397611521
123;1;12;123;488;5,8896103896103895;10,705882352941176;15,11111111111111;10,568867951220891
12;12;23;123;487;5,594771241830065;9,619047619047619;16,5;10,571272953625895
123;1;13;123;486;5,641891891891892;13,074074074074074;13;10,57198865532199
13;123;123;123;487;5,13986013986014;9,8125;16,8;10,584120046620047
13;123;123;1;485;5,880281690140845;13,875;12;10,585093896713614
1;23;13;123;485;5,456953642384106;11;15,333333333333334;10,596762325239148
3;123;12;13;486;8,184931506849315;11,72;11,88888888888889;10,597940131912734
2;123;123;1;492;6,909090909090909;11,095238095238095;13,8;10,601443001443002
123;13;23;123;487;6,225352112676056;11,222222222222221;14,363636363636363;10,603736899511548
123;12;13;13;486;5,322147651006712;10,19047619047619;16,3;10,604207947160967
123;13;2;1;487;6,267123287671233;9,875;15,7;10,61404109589041
12;123;123;12;487;5,98639455782313;10,73076923076923;15,142857142857142;10,620006977149833
23;13;12;13;485;5,938775510204081;9,347826086956522;16,6;10,628867199053536
123;23;13;1;487;5,181208053691275;10,307692307692308;16,4;10,629633453794527
13;2;1;123;487;5,864864864864865;9,62962962962963;16,4;10,631498164831498
123;23;123;123;485;6,589041095890411;11,321428571428571;14;10,636823222439661
1;123;12;13;494;5,6158940397351;11,5;14,8;10,638631346578366
123;12;13;13;490;5,712328767123288;9,916666666666666;16,3;10,642998477929984
13;12;23;12;487;5,962264150943396;10,333333333333334;15,666666666666666;10,654088050314465
123;123;1;13;487;5,820689655172414;10,903225806451612;15,25;10,657971820541341
123;123;13;123;487;5,074324324324325;10,076923076923077;16,833333333333332;10,661526911526911
123;123;123;1;485;6,7555555555555555;11,72972972972973;13,5;10,661761761761761
12;123;3;12;485;7,111111111111111;12,541666666666666;12,333333333333334;10,662037037037038
12;13;13;12;486;6,065359477124183;13,5;12,428571428571429;10,66464363523187
123;12;1;123;485;5,748344370860927;12,25;14;10,666114790286976
123;13;123;13;487;4,771241830065359;8,95;18,285714285714285;10,668985371926548
12;123;13;12;486;5,522875816993464;10;16,5;10,67429193899782
1;123;123;2;487;6,594594594594595;10,44;15;10,678198198198197
123;123;12;1;487;6,736486486486487;12;13,333333333333334;10,68993993993994
12;23;13;123;487;6,112582781456954;10,333333333333334;15,625;10,690305371596763
123;1;123;123;491;5,053333333333334;9,038461538461538;18;10,697264957264958
12;12;23;123;504;6,616438356164384;9,481481481481481;16;10,69930661254862
13;13;12;12;487;5,9324324324324325;13,416666666666666;12,75;10,6996996996997
123;123;13;12;487;5,33112582781457;9,76923076923077;17;10,70011886568178
23;13;12;13;487;6,304635761589404;12,80952380952381;13;10,704719857037738
123;123;12;123;488;6,561643835616438;10,392857142857142;15,166666666666666;10,707055881713416
123;13;13;12;485;5,051282051282051;14,428571428571429;12,666666666666666;10,715506715506715
123;123;23;123;487;7,388489208633094;9,517241379310345;15,25;10,718576862647813
123;1;23;1;490;5,258741258741258;11,538461538461538;15,363636363636363;10,72027972027972
